
 Event Time in Mabp  , 35                  , HC Masses in Tons   ,
 7                   , 4                   , Inflow              ,
 7                   , 4                   , Outflow             ,
 7                   , 4                   , Top Outflow Layer   ,
 7                   , 4                   , Sid Outflow Layer   ,
 6                   , 5                   , Remaining           ,
 6                   , 5                   , Primary             ,
 6                   , 5                   , Secondary In        ,
 6                   , 5                   , Secondary Out       ,
 6                   , 5                   , Liquid              ,
 6                   , 5                   , Vapor               ,
 6                   , 5                   , Water               ,
 6                   , 5                   , Adsorbed            ,
 6                   , 5                   , Inflow              ,
 6                   , 5                   , Outflow             ,
 6                   , 5                   , Top Outflow Layer   ,
 6                   , 5                   , Sid Outflow Layer   ,
 5                   , 6                   , Remaining           ,
 5                   , 6                   , Primary             ,
 5                   , 6                   , Secondary In        ,
 5                   , 6                   , Secondary Out       ,
 5                   , 6                   , Liquid              ,
 5                   , 6                   , Vapor               ,
 5                   , 6                   , Water               ,
 5                   , 6                   , Adsorbed            ,
 5                   , 6                   , Inflow              ,
 5                   , 6                   , Outflow             ,
 5                   , 6                   , Top Outflow Layer   ,
 5                   , 6                   , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 5.51                , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 10                  , 1                   , Remaining           ,
 10                  , 1                   , Primary             ,
 10                  , 1                   , Secondary In        ,
 10                  , 1                   , Secondary Out       ,
 10                  , 1                   , Liquid              ,
 10                  , 1                   , Vapor               ,
 10                  , 1                   , Water               ,
 10                  , 1                   , Adsorbed            ,
 10                  , 1                   , Inflow              ,
 10                  , 1                   , Outflow             ,
 10                  , 1                   , Top Outflow Layer   ,
 10                  , 1                   , Sid Outflow Layer   ,
 9                   , 2                   , Remaining           ,
 9                   , 2                   , Primary             ,
 9                   , 2                   , Secondary In        ,
 9                   , 2                   , Secondary Out       ,
 9                   , 2                   , Liquid              ,
 9                   , 2                   , Vapor               ,
 9                   , 2                   , Water               ,
 9                   , 2                   , Adsorbed            ,
 9                   , 2                   , Inflow              ,
 9                   , 2                   , Outflow             ,
 9                   , 2                   , Top Outflow Layer   ,
 9                   , 2                   , Sid Outflow Layer   ,
 8                   , 3                   , Remaining           ,
 8                   , 3                   , Primary             ,
 8                   , 3                   , Secondary In        ,
 8                   , 3                   , Secondary Out       ,
 8                   , 3                   , Liquid              ,
 8                   , 3                   , Vapor               ,
 8                   , 3                   , Water               ,
 8                   , 3                   , Adsorbed            ,
 8                   , 3                   , Inflow              ,
 8                   , 3                   , Outflow             ,
 8                   , 3                   , Top Outflow Layer   ,
 8                   , 3                   , Sid Outflow Layer   ,
 7                   , 4                   , Remaining           ,
 7                   , 4                   , Primary             ,
 7                   , 4                   , Secondary In        ,
 7                   , 4                   , Secondary Out       ,
 7                   , 4                   , Liquid              ,
 7                   , 4                   , Vapor               ,
 7                   , 4                   , Water               ,
 7                   , 4                   , Adsorbed            ,
 7                   , 4                   , Inflow              ,
 7                   , 4                   , Outflow             ,
 7                   , 4                   , Top Outflow Layer   ,
 7                   , 4                   , Sid Outflow Layer   ,
 6                   , 5                   , Remaining           ,
 6                   , 5                   , Primary             ,
 6                   , 5                   , Secondary In        ,
 6                   , 5                   , Secondary Out       ,
 6                   , 5                   , Liquid              ,
 6                   , 5                   , Vapor               ,
 6                   , 5                   , Water               ,
 6                   , 5                   , Adsorbed            ,
 6                   , 5                   , Inflow              ,
 6                   , 5                   , Outflow             ,
 6                   , 5                   , Top Outflow Layer   ,
 6                   , 5                   , Sid Outflow Layer   ,
 5                   , 6                   , Remaining           ,
 5                   , 6                   , Primary             ,
 5                   , 6                   , Secondary In        ,
 5                   , 6                   , Secondary Out       ,
 5                   , 6                   , Liquid              ,
 5                   , 6                   , Vapor               ,
 5                   , 6                   , Water               ,
 5                   , 6                   , Adsorbed            ,
 5                   , 6                   , Inflow              ,
 5                   , 6                   , Outflow             ,
 5                   , 6                   , Top Outflow Layer   ,
 5                   , 6                   , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 5.11                , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 10                  , 1                   , Remaining           ,
 10                  , 1                   , Primary             ,
 10                  , 1                   , Secondary In        ,
 10                  , 1                   , Secondary Out       ,
 10                  , 1                   , Liquid              ,
 10                  , 1                   , Vapor               ,
 10                  , 1                   , Water               ,
 10                  , 1                   , Adsorbed            ,
 10                  , 1                   , Inflow              ,
 10                  , 1                   , Outflow             ,
 10                  , 1                   , Top Outflow Layer   ,
 10                  , 1                   , Sid Outflow Layer   ,
 9                   , 2                   , Remaining           ,
 9                   , 2                   , Primary             ,
 9                   , 2                   , Secondary In        ,
 9                   , 2                   , Secondary Out       ,
 9                   , 2                   , Liquid              ,
 9                   , 2                   , Vapor               ,
 9                   , 2                   , Water               ,
 9                   , 2                   , Adsorbed            ,
 9                   , 2                   , Inflow              ,
 9                   , 2                   , Outflow             ,
 9                   , 2                   , Top Outflow Layer   ,
 9                   , 2                   , Sid Outflow Layer   ,
 8                   , 3                   , Remaining           ,
 8                   , 3                   , Primary             ,
 8                   , 3                   , Secondary In        ,
 8                   , 3                   , Secondary Out       ,
 8                   , 3                   , Liquid              ,
 8                   , 3                   , Vapor               ,
 8                   , 3                   , Water               ,
 8                   , 3                   , Adsorbed            ,
 8                   , 3                   , Inflow              ,
 8                   , 3                   , Outflow             ,
 8                   , 3                   , Top Outflow Layer   ,
 8                   , 3                   , Sid Outflow Layer   ,
 7                   , 4                   , Remaining           ,
 7                   , 4                   , Primary             ,
 7                   , 4                   , Secondary In        ,
 7                   , 4                   , Secondary Out       ,
 7                   , 4                   , Liquid              ,
 7                   , 4                   , Vapor               ,
 7                   , 4                   , Water               ,
 7                   , 4                   , Adsorbed            ,
 7                   , 4                   , Inflow              ,
 7                   , 4                   , Outflow             ,
 7                   , 4                   , Top Outflow Layer   ,
 7                   , 4                   , Sid Outflow Layer   ,
 6                   , 5                   , Remaining           ,
 6                   , 5                   , Primary             ,
 6                   , 5                   , Secondary In        ,
 6                   , 5                   , Secondary Out       ,
 6                   , 5                   , Liquid              ,
 6                   , 5                   , Vapor               ,
 6                   , 5                   , Water               ,
 6                   , 5                   , Adsorbed            ,
 6                   , 5                   , Inflow              ,
 6                   , 5                   , Outflow             ,
 6                   , 5                   , Top Outflow Layer   ,
 6                   , 5                   , Sid Outflow Layer   ,
 5                   , 6                   , Remaining           ,
 5                   , 6                   , Primary             ,
 5                   , 6                   , Secondary In        ,
 5                   , 6                   , Secondary Out       ,
 5                   , 6                   , Liquid              ,
 5                   , 6                   , Vapor               ,
 5                   , 6                   , Water               ,
 5                   , 6                   , Adsorbed            ,
 5                   , 6                   , Inflow              ,
 5                   , 6                   , Outflow             ,
 5                   , 6                   , Top Outflow Layer   ,
 5                   , 6                   , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 5                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 10                  , 1                   , Remaining           ,
 10                  , 1                   , Primary             ,
 10                  , 1                   , Secondary In        ,
 10                  , 1                   , Secondary Out       ,
 10                  , 1                   , Liquid              ,
 10                  , 1                   , Vapor               ,
 10                  , 1                   , Water               ,
 10                  , 1                   , Adsorbed            ,
 10                  , 1                   , Inflow              ,
 10                  , 1                   , Outflow             ,
 10                  , 1                   , Top Outflow Layer   ,
 10                  , 1                   , Sid Outflow Layer   ,
 9                   , 2                   , Remaining           ,
 9                   , 2                   , Primary             ,
 9                   , 2                   , Secondary In        ,
 9                   , 2                   , Secondary Out       ,
 9                   , 2                   , Liquid              ,
 9                   , 2                   , Vapor               ,
 9                   , 2                   , Water               ,
 9                   , 2                   , Adsorbed            ,
 9                   , 2                   , Inflow              ,
 9                   , 2                   , Outflow             ,
 9                   , 2                   , Top Outflow Layer   ,
 9                   , 2                   , Sid Outflow Layer   ,
 8                   , 3                   , Remaining           ,
 8                   , 3                   , Primary             ,
 8                   , 3                   , Secondary In        ,
 8                   , 3                   , Secondary Out       ,
 8                   , 3                   , Liquid              ,
 8                   , 3                   , Vapor               ,
 8                   , 3                   , Water               ,
 8                   , 3                   , Adsorbed            ,
 8                   , 3                   , Inflow              ,
 8                   , 3                   , Outflow             ,
 8                   , 3                   , Top Outflow Layer   ,
 8                   , 3                   , Sid Outflow Layer   ,
 7                   , 4                   , Remaining           ,
 7                   , 4                   , Primary             ,
 7                   , 4                   , Secondary In        ,
 7                   , 4                   , Secondary Out       ,
 7                   , 4                   , Liquid              ,
 7                   , 4                   , Vapor               ,
 7                   , 4                   , Water               ,
 7                   , 4                   , Adsorbed            ,
 7                   , 4                   , Inflow              ,
 7                   , 4                   , Outflow             ,
 7                   , 4                   , Top Outflow Layer   ,
 7                   , 4                   , Sid Outflow Layer   ,
 6                   , 5                   , Remaining           ,
 6                   , 5                   , Primary             ,
 6                   , 5                   , Secondary In        ,
 6                   , 5                   , Secondary Out       ,
 6                   , 5                   , Liquid              ,
 6                   , 5                   , Vapor               ,
 6                   , 5                   , Water               ,
 6                   , 5                   , Adsorbed            ,
 6                   , 5                   , Inflow              ,
 6                   , 5                   , Outflow             ,
 6                   , 5                   , Top Outflow Layer   ,
 6                   , 5                   , Sid Outflow Layer   ,
 5                   , 6                   , Remaining           ,
 5                   , 6                   , Primary             ,
 5                   , 6                   , Secondary In        ,
 5                   , 6                   , Secondary Out       ,
 5                   , 6                   , Liquid              ,
 5                   , 6                   , Vapor               ,
 5                   , 6                   , Water               ,
 5                   , 6                   , Adsorbed            ,
 5                   , 6                   , Inflow              ,
 5                   , 6                   , Outflow             ,
 5                   , 6                   , Top Outflow Layer   ,
 5                   , 6                   , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 4.3                 , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 10                  , 1                   , Remaining           ,
 10                  , 1                   , Primary             ,
 10                  , 1                   , Secondary In        ,
 10                  , 1                   , Secondary Out       ,
 10                  , 1                   , Liquid              ,
 10                  , 1                   , Vapor               ,
 10                  , 1                   , Water               ,
 10                  , 1                   , Adsorbed            ,
 10                  , 1                   , Inflow              ,
 10                  , 1                   , Outflow             ,
 10                  , 1                   , Top Outflow Layer   ,
 10                  , 1                   , Sid Outflow Layer   ,
 9                   , 2                   , Remaining           ,
 9                   , 2                   , Primary             ,
 9                   , 2                   , Secondary In        ,
 9                   , 2                   , Secondary Out       ,
 9                   , 2                   , Liquid              ,
 9                   , 2                   , Vapor               ,
 9                   , 2                   , Water               ,
 9                   , 2                   , Adsorbed            ,
 9                   , 2                   , Inflow              ,
 9                   , 2                   , Outflow             ,
 9                   , 2                   , Top Outflow Layer   ,
 9                   , 2                   , Sid Outflow Layer   ,
 8                   , 3                   , Remaining           ,
 8                   , 3                   , Primary             ,
 8                   , 3                   , Secondary In        ,
 8                   , 3                   , Secondary Out       ,
 8                   , 3                   , Liquid              ,
 8                   , 3                   , Vapor               ,
 8                   , 3                   , Water               ,
 8                   , 3                   , Adsorbed            ,
 8                   , 3                   , Inflow              ,
 8                   , 3                   , Outflow             ,
 8                   , 3                   , Top Outflow Layer   ,
 8                   , 3                   , Sid Outflow Layer   ,
 7                   , 4                   , Remaining           ,
 7                   , 4                   , Primary             ,
 7                   , 4                   , Secondary In        ,
 7                   , 4                   , Secondary Out       ,
 7                   , 4                   , Liquid              ,
 7                   , 4                   , Vapor               ,
 7                   , 4                   , Water               ,
 7                   , 4                   , Adsorbed            ,
 7                   , 4                   , Inflow              ,
 7                   , 4                   , Outflow             ,
 7                   , 4                   , Top Outflow Layer   ,
 7                   , 4                   , Sid Outflow Layer   ,
 6                   , 5                   , Remaining           ,
 6                   , 5                   , Primary             ,
 6                   , 5                   , Secondary In        ,
 6                   , 5                   , Secondary Out       ,
 6                   , 5                   , Liquid              ,
 6                   , 5                   , Vapor               ,
 6                   , 5                   , Water               ,
 6                   , 5                   , Adsorbed            ,
 6                   , 5                   , Inflow              ,
 6                   , 5                   , Outflow             ,
 6                   , 5                   , Top Outflow Layer   ,
 6                   , 5                   , Sid Outflow Layer   ,
 5                   , 6                   , Remaining           ,
 5                   , 6                   , Primary             ,
 5                   , 6                   , Secondary In        ,
 5                   , 6                   , Secondary Out       ,
 5                   , 6                   , Liquid              ,
 5                   , 6                   , Vapor               ,
 5                   , 6                   , Water               ,
 5                   , 6                   , Adsorbed            ,
 5                   , 6                   , Inflow              ,
 5                   , 6                   , Outflow             ,
 5                   , 6                   , Top Outflow Layer   ,
 5                   , 6                   , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 3.05                , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 10                  , 1                   , Remaining           ,
 10                  , 1                   , Primary             ,
 10                  , 1                   , Secondary In        ,
 10                  , 1                   , Secondary Out       ,
 10                  , 1                   , Liquid              ,
 10                  , 1                   , Vapor               ,
 10                  , 1                   , Water               ,
 10                  , 1                   , Adsorbed            ,
 10                  , 1                   , Inflow              ,
 10                  , 1                   , Outflow             ,
 10                  , 1                   , Top Outflow Layer   ,
 10                  , 1                   , Sid Outflow Layer   ,
 9                   , 2                   , Remaining           ,
 9                   , 2                   , Primary             ,
 9                   , 2                   , Secondary In        ,
 9                   , 2                   , Secondary Out       ,
 9                   , 2                   , Liquid              ,
 9                   , 2                   , Vapor               ,
 9                   , 2                   , Water               ,
 9                   , 2                   , Adsorbed            ,
 9                   , 2                   , Inflow              ,
 9                   , 2                   , Outflow             ,
 9                   , 2                   , Top Outflow Layer   ,
 9                   , 2                   , Sid Outflow Layer   ,
 8                   , 3                   , Remaining           ,
 8                   , 3                   , Primary             ,
 8                   , 3                   , Secondary In        ,
 8                   , 3                   , Secondary Out       ,
 8                   , 3                   , Liquid              ,
 8                   , 3                   , Vapor               ,
 8                   , 3                   , Water               ,
 8                   , 3                   , Adsorbed            ,
 8                   , 3                   , Inflow              ,
 8                   , 3                   , Outflow             ,
 8                   , 3                   , Top Outflow Layer   ,
 8                   , 3                   , Sid Outflow Layer   ,
 7                   , 4                   , Remaining           ,
 7                   , 4                   , Primary             ,
 7                   , 4                   , Secondary In        ,
 7                   , 4                   , Secondary Out       ,
 7                   , 4                   , Liquid              ,
 7                   , 4                   , Vapor               ,
 7                   , 4                   , Water               ,
 7                   , 4                   , Adsorbed            ,
 7                   , 4                   , Inflow              ,
 7                   , 4                   , Outflow             ,
 7                   , 4                   , Top Outflow Layer   ,
 7                   , 4                   , Sid Outflow Layer   ,
 6                   , 5                   , Remaining           ,
 6                   , 5                   , Primary             ,
 6                   , 5                   , Secondary In        ,
 6                   , 5                   , Secondary Out       ,
 6                   , 5                   , Liquid              ,
 6                   , 5                   , Vapor               ,
 6                   , 5                   , Water               ,
 6                   , 5                   , Adsorbed            ,
 6                   , 5                   , Inflow              ,
 6                   , 5                   , Outflow             ,
 6                   , 5                   , Top Outflow Layer   ,
 6                   , 5                   , Sid Outflow Layer   ,
 5                   , 6                   , Remaining           ,
 5                   , 6                   , Primary             ,
 5                   , 6                   , Secondary In        ,
 5                   , 6                   , Secondary Out       ,
 5                   , 6                   , Liquid              ,
 5                   , 6                   , Vapor               ,
 5                   , 6                   , Water               ,
 5                   , 6                   , Adsorbed            ,
 5                   , 6                   , Inflow              ,
 5                   , 6                   , Outflow             ,
 5                   , 6                   , Top Outflow Layer   ,
 5                   , 6                   , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
